phone_no_m,arpu_mean,arpu_var,arpu_max,arpu_min,arpu_median,arpu_sum,arpu_skew,arpu_sem,idcard_cnt,label,app_usage_count,flow_mean,flow_median,flow_min,flow_max,flow_var,flow_sum,months_count,flow_month,imei_count,imei_list,call_count,call_unique,call_city_unique,call_county_unique,call_count_mean,call_count_median,call_count_max,call_dur_mean,call_dur_median,call_dur_min,call_dur_max,voc_hour_mode,voc_hour_mode_count,voc_hour_unique,voc_day_mode,voc_day_mode_count,voc_date_unique,voc_dayname_mode_count,voc_dayname_unique,calltypeid_unique,voc_calltype1_count,voc_calltype2_count,voccalltype3_count,voc_calltype1_proportion,call_outgoing_city_unique,call_outgoing_county_unique,call_duration_per_contact_median,call_duration_per_contact_max,call_duration_per_contact_mean,sms_count,sms_nunique_contact,sms_date_nunique,sms_hour_mode,sms_hour_mode_count,sms_hour_nunique,sms_day_mode,sms_day_mode_count,sms_day_nunique,sms_dayname_mode_count,sms_dayname_nunique,sms_rate,sms_contacts_proportion,sms_calltype1_count,sms_calltype2_count,sms_calltype2_proportion
672ddbf02a5544d32e4ecc9433b1981bffe23bf912273a3a835f6cccb78b8ed7554e9ab0fbcd33d19eb6063ce00542dd223cc5cc83c68f07bcf933547b6776b1,45.1325,0.1404500000000006,46.06,45.0,45.0,361.06,2.8284271247461907,0.13250000000000026,1,0,257,13.758107009662195,0.1807870864868164,0.000105857849121,1544.7155542373655,5317.9988995163085,13964.478614807129,8,1745.559826850891,2.0,"['373edd6a9e74969acc2e54fd60be5164a106ca718a31f7fbbb0710247a7fccf506676f24ef96d2e03476cdb5439ef2faa3814d3d63435ea5e9507496eabb4629', '0a0a319fdb33f95383defa271d678277178bfc5b899f8db05413b7e1b72374996471167356caac0c2795e771efbbbf255ca3997ff3434690a3d662de74101b4e']",1258.0,95.0,4.0,16.0,13.242105263157894,3.0,226.0,74.18124006359301,30.0,1.0,1989.0,16.0,149.0,23.0,4.0,73.0,31.0,222.0,7.0,2.0,649.0,609.0,0.0,0.5158982511923689,2.0,7.0,122.0,15395.0,982.3157894736842,1416.0,211.0,230.0,17.0,143.0,24.0,16.0,93.0,31.0,229.0,7.0,6.710900473933649,0.14901129943502825,6.0,1410.0,0.9957627118644068
5e1272273e041e82cb275ae877710be98cdaf5b0a8f34de8d361f71d5268fa0851edffd3950e170df1e3846fcf90cc7cc8299be9139a2ac4b5c5e5121d832674,63.9375,337.1483928571428,79.3,34.1,69.5,511.5,-0.7409583169939832,6.491806305424003,1,0,326,30.45572855103184,0.36555910110473633,7.43865966796875e-05,3611.522757530213,26689.375902592623,51896.56145095825,8,6487.0701813697815,1.0,['e28be70a5662bf15afd28ab78a76b0ebe104cd141d375adbddf71ec9aec5fea6b457b61f6cedcda69f6f1805733b32e1d090363e2beb84f84424cfbd6951514d'],156.0,63.0,1.0,2.0,2.4761904761904763,1.0,31.0,77.25,38.0,1.0,615.0,10.0,20.0,16.0,4.0,20.0,31.0,36.0,7.0,2.0,43.0,113.0,0.0,0.27564102564102566,1.0,2.0,22.0,4441.0,191.28571428571428,4242.0,364.0,241.0,10.0,624.0,24.0,1.0,356.0,31.0,659.0,7.0,11.653846153846153,0.0858085808580858,25.0,4217.0,0.9941065535124941
eaab3472ec87b076e69e6e8bb62b14341638fc63661a6c682d6add360a4332a8ad294d8470d64a73c6e53e8413f0ad93b9ea65afab717e58d312554f33553ee7,31.78125,353.8892410714285,63.0,18.85,22.075,254.25,1.414106012744919,6.651026622554488,2,0,232,14.853838355524354,0.1420135498046875,7.62939453125e-05,1371.8718767166138,5285.788518873293,14690.446133613586,8,1836.3057667016983,4.0,"['46c9ca95f8f8e99f0ec26eaf31cc46d7ad887b148a622342e2337a1b8ca6256bb0bdfa08f6a3394debf667b8d1b9354bc461eeeb7e654a124795449982903933', 'ca48ac4485ca5a35011fd5104cbcd7bc5d173586e9bf0cc1b1587b21292d2633372a4dcba55f59973f5c235037b9e747c1b8e8eb75749a7d8bf84a9b56795e0f', '01155b4652dd0871596009ef87ca225a8c83b64789c8dbf24bf2a9d07c7d91903da3564241c6183936199024d56ee94ec6c4ed0292e6c5f753a2b16e009749a1', 'b4de607deb93f31c39adcd45430454e7178b1aaf1d3b7e297fbee09d9cd1f928934a802c4b70c15b4bc5dbec23e1e9dad90e9fc4b2f976ee7921069d28ae5d03']",1152.0,124.0,3.0,8.0,9.290322580645162,2.0,388.0,44.54600694444444,31.0,1.0,601.0,10.0,149.0,20.0,19.0,69.0,31.0,187.0,7.0,2.0,779.0,373.0,0.0,0.6762152777777778,3.0,8.0,109.5,11990.0,413.8467741935484,1375.0,364.0,221.0,10.0,160.0,20.0,19.0,67.0,31.0,262.0,7.0,3.7774725274725274,0.2647272727272727,97.0,1278.0,0.9294545454545454
0ce1bb415704178bf44e9c9b431a39b083a132c8e6d99f3627cd4520064b93ec66a72d085a67f0f40eebb9f901072965073e398f04c4ae500a1db4dfb13a972c,54.07125,3779.1566125000004,173.12,19.0,21.2,432.57,1.570986657841008,21.734640014559705,2,0,85,1.7365532369421632,0.0719461441040039,9.1552734375e-05,62.42862701416016,62.37583657726928,258.7464323043823,8,32.34330403804779,2.0,"['ec37f619570096fe038077f071c2ede47beb5ce3cf95f4d832b8b57ed04bae03e58495c89efd1c042db85bec11ab1539e3032e1d37937bbef749dc7098621738', 'ed1a5f486f90cb1c7729789d9b2954e759e5d08d8a65127bab291ff3866177b58b71ec14a2086d83dad958f8e32acac94bd2caf3e49d598bb4c62ce5d57c53c9']",5083.0,1229.0,5.0,22.0,4.135882831570383,1.0,494.0,75.2752311626992,37.0,1.0,2269.0,15.0,650.0,22.0,14.0,218.0,31.0,962.0,7.0,3.0,1457.0,3149.0,477.0,0.28664174699980327,3.0,15.0,19.0,25981.0,311.3295362082995,4370.0,1176.0,243.0,10.0,527.0,24.0,16.0,178.0,31.0,785.0,7.0,3.7159863945578233,0.26910755148741416,48.0,4322.0,0.9890160183066361
28b87f35f63f65096a53e3a4c97eaffd4a6c43ffa7e92d7706b20520aa11fff0f4ce06203f66758ec0f0e70780e4e258aae6aa1f23439e115528e08eda71ed20,50.0,0.0,50.0,50.0,50.0,400.0,0.0,0.0,1,0,270,43.78589437238,0.1450080871582031,5.340576171875e-05,13704.446232795715,286363.1107804129,63971.19167804718,8,7996.3989597558975,1.0,['fbed138b4742062010fd06ed9f1808d47e0eb874131242a568c60b6f5fb81deb25016d0224be4dab2f1b2fead0c8072c67c4f86e56b9ce580f0e724ec7409846'],61.0,47.0,6.0,7.0,1.297872340425532,1.0,5.0,47.24590163934426,24.0,6.0,199.0,10.0,7.0,21.0,3.0,7.0,27.0,11.0,7.0,2.0,19.0,42.0,0.0,0.3114754098360656,2.0,2.0,32.0,243.0,61.319148936170215,723.0,69.0,186.0,14.0,106.0,20.0,15.0,65.0,31.0,120.0,7.0,10.478260869565217,0.0954356846473029,1.0,722.0,0.9986168741355463
16de3bcbd05ae39e8a553a8959d2ef6e31d9eaf34c5643ae336369ea6e3afb5dc898aa7b4ae4bd18cd013e25540f491b59befeabccd2b1ba9167836e241a10d7,65.19,148.67080000000004,94.45,59.0,59.325,521.52,2.514723722025539,4.310898978171491,2,0,295,9.469104009734949,0.13259935379028315,7.43865966796875e-05,889.6195192337036,3000.946493058878,14563.481966972351,8,1820.4352458715439,3.0,"['f5438e62277e39cd17b7204ec5c4f08a0a1cc427e3401719575ec3621954975b99ef3a2ab7294a9bf8d78eef2e6d0acf4e0609feb34862447867285b671e9af0', '58d262e642e80d6a1818e6f303c52ac2f77571c787ab5895edf8a7eaf4eba053ae9be2e42253bc2b538412049c19744c01ef38e332c95e6bc5dbfa2f114937a5', 'bf40b74398ef3fdc9debafb6f0f74a386e1adf26b44135e17c1e597e2fab3e6734f034cbc2dd147cfb647365d09bdb3a9fe35ff3eef02c780b7619eecb857fdd']",771.0,189.0,2.0,3.0,4.079365079365079,2.0,70.0,127.18806744487678,37.0,1.0,3256.0,17.0,112.0,19.0,10.0,52.0,31.0,141.0,7.0,2.0,598.0,173.0,0.0,0.7756160830090791,2.0,3.0,82.0,52150.0,518.8465608465608,1066.0,168.0,219.0,10.0,123.0,21.0,28.0,69.0,31.0,184.0,7.0,6.345238095238095,0.1575984990619137,33.0,1033.0,0.9690431519699813
a19e29d2dfcf631a412c9dfd0a14f0d79ec6d784168a84e5527d7de26e37505d4fd363f6db9a5760ec88b63bb01799954fd1a24c3cd2ca3006d8977805bfb67e,34.196666666666665,421.8070333333333,46.6,10.49,45.5,102.58999999999999,-1.7264628269790365,11.857585945058315,1,1,99,6.015715691351121,0.05624580383300775,0.0001821517944335,453.0667943954468,1246.7101932881417,1118.9231185913086,3,372.97437286376953,4.0,"['6d372ccb97bd6d7981b447e8848853c931f6515ed482d4bb59a62f059f6acd7204b39c5564f5d08e2d74b230aabd234217192bdf37517a5989f2504389ee48e2', '2aef901a5ea61e64ca17aece9ab66eedf9c5ba5d435df412fd26e1c10902110a29e7979221e97ab5f13dc4ae6aef4ddbf5e9fef826516bf4f2c80702fcbce422', 'd09d039c6f7eb2011591ccfd8200c679362bd32aa60877361a2f38f256cf73bf556d1046fcd45db21e6635b4c6d4838e4c65ea18dbd01a39edd42cdc4b19907a', '154bf2bb369c88c29de865fab7c3756d823824120d4bfbb864b829020f1affaa0feebf91044a89f30e6d1db94238666beb66b641a2d87872c8211c3327b5318d']",1268.0,1153.0,2.0,3.0,1.0997398091934085,1.0,9.0,57.04968454258675,25.0,1.0,1137.0,15.0,222.0,15.0,31.0,145.0,27.0,316.0,7.0,2.0,1253.0,15.0,0.0,0.9881703470031545,2.0,3.0,24.0,1616.0,62.7398091934085,95.0,11.0,23.0,16.0,34.0,10.0,27.0,38.0,17.0,42.0,7.0,8.636363636363637,0.11578947368421053,1.0,94.0,0.9894736842105263
7b6b79beebb15203f984eb1b4232581151cfe633037c6467155f925b0aee6413d1af1a610bc8b3dcd90716fdd251c6053285588d89cafb87186d40a404f980e9,40.34,,40.34,40.34,40.34,40.34,,,4,1,4,12.59467830657959,0.0105066299438476,0.001840591430664,62.93723011016846,791.9914496415917,62.97339153289795,1,62.97339153289795,2.0,"['bf1485d73d95c54c1a38ed901217222f75b2656c97588208512f44b1c1f492a6c4041eefc46e64852fc0a1e08d78531624c2117b0160ae6fd2fed57d104fd5b6', '44de0c7cd9be745255a484d9d0a8da1a0bd3105378a94200bee6ae6c5e9703508fc1c3fb332a1a6e0abb59c575ad7d4f02b8c97f454eba1d8f42aff2719bcd1d']",126.0,97.0,2.0,4.0,1.2989690721649485,1.0,11.0,133.32539682539684,55.5,6.0,1800.0,17.0,26.0,16.0,11.0,80.0,10.0,84.0,7.0,2.0,123.0,3.0,0.0,0.9761904761904762,2.0,4.0,59.0,2380.0,173.18556701030928,136.0,18.0,21.0,18.0,32.0,15.0,6.0,50.0,19.0,59.0,7.0,7.555555555555555,0.1323529411764706,6.0,130.0,0.9558823529411765
371bb6ef7f0973e9aa4a2a324d98d326efdc903730bea9725c480391acd6cac0894d08f6b628928b5950e6683110bb12d4d99e5df51f06791c5fe0a524232228,17.22875,52.06726964285714,29.89,9.0,15.995,137.83,0.7703293080287981,2.5511583066045005,2,1,140,7.112580654549334,0.0789794921875,7.43865966796875e-05,771.1833782196045,1682.8501627392793,4488.03839302063,8,561.0047991275787,5.0,"['2bbe8d1989b055b110e96d7485b7bc11003b968218928ee25a648d73487a10ef620ac6939ea7511c77d7165b15b55e730a1ce6d781006c946ec54340ce135be6', '8d66f0587ad38761f222e7f3a477c59238354fe8e475b8e47771f864e6e4097835ffd0244700c026783e2f098941b33c6ea83385a5d0e12fe625ab867ef6fcaf', 'c082878c34789a6936424c3949a98438cf6e6ff084bead1fde97f3393726fd74f26a0c12b44ae5ebdadf923cfc0fb7e9b570851de5c74ec7b62b9395e894ee04', '12bde28eaac69bc4129a4ebb55b49a14225198479e4eceff7f040172fb5b85da6aae320c4c13fb493a0a069b1b8ed80bf84683acce4a800bb12956d1a585fa4b', '7aea501e98d345f5dec151e8dbb5d598adf90d0baa9feaf26bfc98cc4b044208bb3f2a74483df0fa911e4f87fa6c257d1fca03a51c02e065dde3951483eac516']",370.0,308.0,4.0,6.0,1.2012987012987013,1.0,4.0,47.42972972972973,39.0,1.0,238.0,0.0,69.0,21.0,12.0,23.0,31.0,69.0,7.0,2.0,369.0,1.0,0.0,0.9972972972972973,4.0,6.0,46.0,301.0,56.97727272727273,4025.0,725.0,205.0,23.0,660.0,24.0,18.0,1191.0,31.0,1734.0,7.0,5.551724137931035,0.18012422360248448,323.0,3702.0,0.9197515527950311
c7c8f04a35e800c615301288bdbe6500993f87dc282025f9f358d94c0863e6c0041deab78d8e1870c312f04fd0897df52d61af0f23a495a81f831f7e8662ae50,22.26625,58.42002678571426,36.37,14.63,21.130000000000003,178.13,0.9357760958359935,2.7023144428830412,2,0,447,45.850936301264326,0.2543973922729492,7.62939453125e-05,5690.515796661377,84778.54876428776,104861.09132099152,8,13107.63641512394,1.0,['db9b7a32b247f9d214100973d74ecbd4177281079fde7f3e9a19456b309f89250f97bdc8fcd4dc88bbba743c5f09730ea85eb7bf23e730cd9a2245e7f3abb3d3'],2578.0,656.0,5.0,20.0,3.9298780487804876,1.0,302.0,49.21450737005431,27.0,1.0,2033.0,14.0,251.0,23.0,3.0,128.0,31.0,438.0,7.0,2.0,1000.0,1578.0,0.0,0.3878975950349108,4.0,14.0,26.0,8186.0,193.40701219512195,3921.0,1117.0,243.0,11.0,426.0,24.0,11.0,197.0,31.0,651.0,7.0,3.5102954341987465,0.2848763070645244,112.0,3809.0,0.9714358581994389
